[0515/061343.592:ERROR:bad_message.cc(26)] Terminating renderer for bad IPC message, reason 213
[0515/061516.335:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (640x424) to (512x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061516.348:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x284) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061516.372:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (368x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061516.373:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (2592x1944) to (2048x1024).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061516.408:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (1192x1006) to (1024x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061542.683:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061542.692:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (510x368) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061542.699:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (425x284) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061547.527:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (368x510) to (256x256).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
[0515/061547.693:INFO:CONSOLE(21463)] "THREE.WebGLRenderer: Texture has been resized from (755x1007) to (512x512).", source: http://192.168.56.1:888/PacMan/PacMan/3D/build/three.module.js (21463)
